participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
34,2,15,retro,memory,image45,image253,left,congruent,NA,left,TRUE,1661.3999999761581
34,2,15,retro,retrieval,NA,NA,NA,congruent,image45,image45,TRUE,2447.2000000476837
34,2,15,retro,retrieval,NA,NA,NA,incongruent,image299,image346,FALSE,2610.100000023842
34,2,15,retro,retrieval,NA,NA,NA,incongruent,image346,image346,TRUE,170.70000004768372
34,2,16,retro,memory,image105,image427,left,congruent,NA,NULL,FALSE,NA
34,2,16,retro,memory,image133,image201,left,incongruent,NA,NULL,FALSE,NA
34,2,16,retro,memory,image247,image129,right,congruent,NA,NULL,FALSE,NA
34,2,16,retro,retrieval,NA,NA,NA,congruent,image105,image247,FALSE,7566.399999976158
34,2,16,retro,retrieval,NA,NA,NA,congruent,image129,image133,FALSE,4581.100000023842
34,2,16,retro,retrieval,NA,NA,NA,incongruent,image133,image129,FALSE,494.60000002384186
34,2,17,retro,memory,image321,image237,right,congruent,NA,NULL,FALSE,NA
34,2,17,retro,memory,image177,image10,right,congruent,NA,right,TRUE,1605.3000000715256
34,2,17,retro,memory,image124,image151,right,congruent,NA,NULL,FALSE,NA
34,2,17,retro,retrieval,NA,NA,NA,congruent,image10,image237,FALSE,4250.5
34,2,17,retro,retrieval,NA,NA,NA,congruent,image237,image10,FALSE,3869.2999999523163
34,2,17,retro,retrieval,NA,NA,NA,congruent,image151,image151,TRUE,251.80000007152557
34,2,18,retro,memory,image309,image159,left,congruent,NA,left,TRUE,1966.5
34,2,18,retro,memory,image324,image212,left,congruent,NA,NULL,FALSE,NA
34,2,18,retro,memory,image211,image20,left,incongruent,NA,right,TRUE,1295.5
34,2,18,retro,retrieval,NA,NA,NA,congruent,image324,image324,TRUE,4909
34,2,18,retro,retrieval,NA,NA,NA,incongruent,image211,image309,FALSE,6765.899999976158
34,2,18,retro,retrieval,NA,NA,NA,congruent,image309,image211,FALSE,5162
34,2,19,retro,memory,image139,image414,right,incongruent,NA,left,TRUE,1376
34,2,19,retro,memory,image369,image149,right,congruent,NA,NULL,FALSE,NA
34,2,19,retro,memory,image302,image5,right,incongruent,NA,left,TRUE,1692.7999999523163
34,2,19,retro,retrieval,NA,NA,NA,incongruent,image5,image5,TRUE,1887.1999999284744
